identifier,model,mae,rmse,mape,mean_traffic,training_time,status
2846 - -1,lstm,4.652257917270268,6.108542597853948,102.88343496405135,7.082191780821918,4.08094334602356,success
2846 - 16119,lstm,54.01771263227071,79.228502609391,226.90477636730836,118.1181506849315,4.167351007461548,success
2846 - 38,lstm,23.553255081176758,32.7128843903887,105.9546477522385,54.66609589041096,6.08596396446228,success
2846 - 5881,lstm,26.973864650073118,35.55210846531438,85.79076462415688,100.3013698630137,4.277561187744141,success
3001 - 15725,lstm,47.73899692378632,59.17543342010569,171.4971376826274,109.41609589041096,4.383516073226929,success
3001 - 16551,lstm,69.45073119908163,90.37858650836212,236.9210406936565,126.39897260273973,4.239083766937256,success
3001 - 6309,lstm,68.5869361276496,85.17330767151563,94.13174157796732,192.40239726027397,4.1463940143585205,success
3002 - 16538,lstm,32.10972110560683,39.711777781690024,124.15039204865572,117.2172131147541,4.015251398086548,success
3002 - 16550,lstm,38.38426595437722,52.89095166394178,117.82446576727294,112.30942622950819,4.135495185852051,success
3002 - 6299,lstm,27.908140471724213,37.32998069111746,116.69469762094596,116.59836065573771,4.370351076126099,success
3002 - 6310,lstm,36.795279201914056,45.34864536713236,84.32435832419637,101.8811475409836,4.246139287948608,success
3120 - 16154,lstm,36.92035051894514,49.280449185895826,158.69868851184933,103.09246575342466,4.743816375732422,success
3120 - 16620,lstm,21.743884243377266,26.405959025121334,51.699053197669485,114.20034246575342,4.690208435058594,success
3120 - 4175,lstm,18.49979003488201,23.91482400055941,15.011975720947559,121.25171232876713,4.713533401489258,success
3120 - 6379,lstm,26.58954095840454,32.776546208278205,67.91846363658735,138.82705479452054,4.58664083480835,success
3122 - 16153,lstm,47.48783623682309,68.61433188016551,155.3258880648522,143.61472602739727,4.487478494644165,success
3122 - 17054,lstm,33.993228833969326,42.802172260806465,183.26701082872086,97.78938356164383,4.475659608840942,success
3122 - 5895,lstm,28.079093782869105,34.111712278131925,115.67669373771203,113.62328767123287,4.345533132553101,success
3126 - 16149,lstm,45.742360467780124,65.87340895655757,167.52327700991398,142.55650684931507,5.061638593673706,success
3126 - 16485,lstm,24.642089082770152,30.266724946714,100.07720501338622,85.96061643835617,4.46499490737915,success
3126 - 5899,lstm,52.13767347597096,66.03399336978214,88.09922624604783,178.0154109589041,4.587755441665649,success
3127 - 16152,lstm,50.824232632996605,72.97678868041962,145.34057825337925,150.64959016393442,4.071290969848633,success
3127 - 5896,lstm,49.775604623263,61.6469336496528,139.05887703365013,132.03073770491804,3.919050455093384,success
3127 - 6813,lstm,27.87722387470183,35.01849472906431,262.9180161695923,60.20286885245902,3.8654606342315674,success
3180 - 16199,lstm,38.584693895627375,55.368117257510704,205.4322107001123,90.99143835616438,4.206348180770874,success
3180 - 17052,lstm,25.358804712556815,34.092127815316125,164.8228148417981,71.80650684931507,4.361867904663086,success
3180 - 5950,lstm,20.435384605028858,25.951147389467287,82.6522083734747,68.29280821917808,4.08840799331665,success
3662 - 15724,lstm,35.216242509345484,55.75659983101472,102.11034168253178,113.7277397260274,6.547065496444702,success
3662 - 5482,lstm,30.56606220219233,37.87852588674104,106.0835862007902,98.39212328767124,4.4032323360443115,success
3662 - 6295,lstm,29.22443675668272,38.830382539924294,124.7959977956351,76.0958904109589,4.252009868621826,success
3662 - 6297,lstm,32.56139923121831,43.10836767940158,101.72254726130977,152.25513698630138,4.235497951507568,success
3682 - 14513,lstm,37.41393184136907,51.586500831053165,287.07934484647217,74.4788990825688,4.149102449417114,success
3682 - 16484,lstm,29.962539942330178,36.79191295901125,94.1663285165133,135.62935779816513,4.026104211807251,success
3682 - 4281,lstm,37.89117048071065,47.912399319196446,134.76614565905066,95.63669724770642,4.057347297668457,success
3682 - 6245,lstm,22.130932592689444,27.82966123072309,115.99046391145893,101.20183486238533,5.226712465286255,success
3685 - 10504,lstm,76.52339944584236,88.03250216401497,86.1341964587563,263.28953771289537,4.191662549972534,success
3685 - 14574,lstm,28.171350452071387,39.14725165850558,210.62156621813398,68.57978723404256,4.764508962631226,success
3685 - 248,lstm,33.13767391361603,40.37615117515397,53.022501547138624,185.7705479452055,4.415402412414551,success
3804 - 14516,lstm,38.46603240052315,56.28071249715478,216.4475972755976,94.15068493150685,4.343152284622192,success
3804 - 17055,lstm,34.343979348875074,43.51008962566399,212.62339991532056,97.98116438356165,4.34182071685791,success
3804 - 4278,lstm,35.71418442791455,43.616032893899735,118.41211806709745,102.46232876712328,4.402829170227051,success
3804 - 6816,lstm,28.701051702238107,40.29185885343381,246.40268454056286,87.73630136986301,4.332021236419678,success
3812 - 14500,lstm,56.934316386915235,75.56273686721093,210.20379739017775,118.98287671232876,4.293004751205444,success
3812 - 4262,lstm,40.96387256334906,52.268103826078445,167.43200763816725,94.29452054794521,4.317723751068115,success
3812 - 6814,lstm,42.16250341232509,52.020273805006426,356.0216548620303,77.50856164383562,4.394459009170532,success
3812 - 6817,lstm,35.45168659785023,49.727182185850765,348.70829809548565,72.13356164383562,4.334191083908081,success
4030 - 16625,lstm,37.37357798667803,44.27887487934513,65.05633407868719,168.79109589041096,4.2923359870910645,success
4030 - 5486,lstm,23.844822390438758,29.60882313942297,122.51325895231255,71.05650684931507,4.250150442123413,success
4030 - 9334,lstm,7.707988374853787,9.556805431422632,118.21623283267634,16.784246575342465,4.468626499176025,success
4032 - 16624,lstm,35.061275305813304,41.80758274983238,77.64089859102457,149.91095890410958,4.283436059951782,success
4032 - 16974,lstm,48.96235452939386,62.46845657330753,488.88048432869647,78.60616438356165,4.390336990356445,success
4032 - 4763,lstm,22.878935366460723,28.92179647599689,95.07584345496346,66.85787671232876,4.293932676315308,success
4032 - 6375,lstm,27.50952602086002,34.29757160516763,84.54063271454123,128.65582191780823,4.316077709197998,success
4034 - 16623,lstm,31.354572622743373,37.46724098940843,74.77950843080068,147.24828767123287,4.321351051330566,success
4034 - 17058,lstm,30.05113199312393,43.854758141756996,120.86062584768517,85.48287671232876,4.416653871536255,success
4034 - 6376,lstm,34.42568114685686,47.35494348944347,99.13627813688534,148.388698630137,4.320942163467407,success
4034 - 6622,lstm,23.304101872117553,29.521359412200802,102.37540875689808,68.75342465753425,4.309432506561279,success
4035 - 16621,lstm,23.728750934339548,28.832192261850892,60.84426063804434,112.34760273972603,7.338939905166626,success
4035 - 19787,lstm,28.88079685707615,40.91768583165015,165.58773157727973,83.44520547945206,4.525398015975952,success
4035 - 6313,lstm,33.43557488755004,40.7721365355578,146.28494367719932,95.36472602739725,4.59207558631897,success
4035 - 6377,lstm,29.68941789130642,37.884690510094146,88.01185327195489,138.62842465753425,4.438759803771973,success
4040 - 14501,lstm,22.042156075778074,31.4486245999514,131.8460599449427,57.9041095890411,4.467301368713379,success
4040 - 14517,lstm,22.765221553306056,30.7635809010292,123.59873751045464,71.88356164383562,4.418692588806152,success
4040 - 16617,lstm,12.838262984197433,16.33943753782355,35.83101993826009,77.97602739726027,4.354465484619141,success
4040 - 4261,lstm,19.632376674103412,24.89970189174931,103.28863873606834,59.25342465753425,4.8118226528167725,success
4040 - 4277,lstm,19.870960728762903,24.14228658423395,45.25614421109031,81.17979452054794,4.881441593170166,success
4040 - 6382,lstm,16.618761216124444,20.822323694773043,49.751229514841235,84.1763698630137,4.817611217498779,success
4043 - 12526,lstm,44.86685822761222,60.704390766126735,127.18395393225991,131.59075342465752,4.79273247718811,success
4043 - 16615,lstm,24.145933474579902,29.96584671957371,64.03913310267015,125.20890410958904,4.405754566192627,success
4043 - 2271,lstm,38.88471147458847,48.47763063753235,72.97746487526224,134.07876712328766,4.344172239303589,success
4043 - 6384,lstm,28.76444582089986,35.10976250784493,82.23136565186908,136.20719178082192,4.435916185379028,success
