,SCATS Number,Location,CD_MELWAY,NB_LATITUDE,NB_LONGITUDE,HF VicRoads Internal,VR Internal Stat,VR Internal Loc,NB_TYPE_SURVEY,Date,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,Identifier
2759,4051,SEVERN_ST S of DONCASTER_RD,046 B02,-37.79418,145.06955,-1,389,5,1,2006-10-01,3,3,2,1,1,1,2,1,2,0,2,4,0,1,1,0,0,1,1,2,0,2,1,3,1,1,3,4,2,3,3,2,2,5,4,8,12,15,16,12,11,22,22,14,12,14,25,29,18,19,15,20,18,17,12,17,13,19,11,15,14,17,20,14,22,16,11,9,16,15,18,17,14,15,10,18,8,4,9,7,5,6,8,3,4,6,9,3,3,2,2,2,2,0,1,1,4051 - -1
2760,4051,SEVERN_ST S of DONCASTER_RD,046 B02,-37.79418,145.06955,-1,389,5,1,2006-10-02,2,0,0,0,0,0,0,0,4,0,1,0,1,0,0,1,0,0,0,5,0,1,0,1,4,5,7,6,13,18,26,28,33,37,42,40,25,23,17,19,15,12,19,20,16,10,14,13,21,17,17,10,22,26,18,24,21,23,22,16,26,45,44,46,49,39,34,47,37,53,52,43,32,39,20,22,13,18,13,6,12,6,10,10,10,7,6,4,4,1,3,2,3,2,0,1,4051 - -1
2761,4051,SEVERN_ST S of DONCASTER_RD,046 B02,-37.79418,145.06955,-1,389,5,1,2006-10-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,2,5,8,4,9,9,19,22,32,39,40,44,41,25,21,18,14,10,21,10,16,13,15,17,18,17,22,13,17,17,19,21,21,14,14,17,20,24,41,44,46,43,35,39,41,52,47,50,43,40,33,25,22,22,19,16,9,10,11,8,9,10,5,2,8,5,5,2,4,2,1,3,0,4051 - -1
2762,4051,SEVERN_ST S of DONCASTER_RD,046 B02,-37.79418,145.06955,-1,389,5,1,2006-10-04,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,3,1,3,7,6,9,6,17,19,28,33,45,43,41,31,20,19,21,17,20,16,16,17,17,17,18,17,20,17,17,20,17,14,17,15,13,24,19,19,45,46,46,43,39,35,41,45,51,46,43,37,35,25,22,18,19,11,9,14,8,10,5,8,6,8,6,6,4,2,3,3,5,3,2,4051 - -1
2763,4051,SEVERN_ST S of DONCASTER_RD,046 B02,-37.79418,145.06955,-1,389,5,1,2006-10-05,0,4,0,1,0,1,2,1,3,0,1,0,0,1,0,0,0,0,0,3,2,0,0,1,5,6,5,8,15,10,26,22,39,38,45,41,37,31,18,19,12,23,21,16,25,13,13,18,20,18,21,17,16,15,19,17,12,16,17,19,22,45,45,52,50,39,35,41,47,47,53,50,39,37,20,27,17,22,11,16,8,6,10,8,6,15,10,4,6,5,8,3,3,5,0,0,4051 - -1
2764,4051,SEVERN_ST S of DONCASTER_RD,046 B02,-37.79418,145.06955,-1,389,5,1,2006-10-06,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,2,3,1,1,2,1,7,3,8,12,10,14,16,25,32,43,51,41,25,15,17,19,17,20,17,16,23,14,25,18,15,17,18,17,26,18,23,19,14,21,17,19,32,48,57,46,43,48,39,28,43,37,39,43,37,39,34,22,18,19,22,10,10,18,4,7,8,7,8,8,4,8,6,10,2,7,3,3,4051 - -1
2765,4051,SEVERN_ST S of DONCASTER_RD,046 B02,-37.79418,145.06955,-1,389,5,1,2006-10-07,3,2,2,1,1,1,0,0,1,2,2,4,0,0,1,1,1,2,2,7,1,0,1,0,2,1,5,5,6,2,7,10,8,14,16,20,20,15,17,10,15,16,23,28,28,28,27,27,28,22,27,34,26,19,18,19,16,28,30,21,15,27,22,18,22,26,15,13,20,26,25,22,17,21,16,24,21,15,7,3,13,8,5,6,8,11,7,8,1,7,3,3,6,4,5,4,4051 - -1
2766,4051,SEVERN_ST S of DONCASTER_RD,046 B02,-37.79418,145.06955,-1,389,5,1,2006-10-08,4,5,3,0,2,3,0,0,0,2,0,1,2,0,0,0,1,1,0,0,1,1,0,0,0,0,4,2,0,1,3,0,5,6,9,21,13,11,20,9,8,17,15,11,21,17,23,24,16,12,15,21,21,15,26,21,16,15,16,17,16,12,14,10,15,13,21,7,16,15,15,11,13,16,17,12,6,5,6,7,5,5,8,5,6,5,1,0,5,3,5,2,1,0,0,0,4051 - -1
2767,4051,SEVERN_ST S of DONCASTER_RD,046 B02,-37.79418,145.06955,-1,389,5,1,2006-10-09,0,1,2,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,5,1,2,2,3,3,6,7,11,11,17,21,30,33,41,41,41,29,24,23,19,19,20,18,16,16,13,16,18,14,20,22,14,17,18,25,22,15,18,18,19,24,37,44,46,41,39,35,35,49,45,50,43,40,33,24,17,21,16,16,9,7,12,4,8,10,3,4,4,2,1,5,1,2,3,0,0,4051 - -1
2768,4051,SEVERN_ST S of DONCASTER_RD,046 B02,-37.79418,145.06955,-1,389,5,1,2006-10-10,1,1,2,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,3,1,1,2,3,3,3,7,5,16,14,25,28,31,51,43,47,24,19,20,19,11,20,25,16,17,21,17,19,17,15,23,13,13,27,22,29,17,25,22,20,25,42,44,46,32,29,38,41,50,55,50,43,43,36,31,21,24,21,16,10,11,3,6,8,12,8,8,4,6,3,5,4,3,7,1,3,4051 - -1
2769,4051,SEVERN_ST S of DONCASTER_RD,046 B02,-37.79418,145.06955,-1,389,5,1,2006-10-11,1,0,1,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,1,2,2,3,4,5,8,8,11,24,28,35,39,40,41,28,22,14,19,16,18,15,16,17,15,18,18,18,22,26,13,19,18,19,15,17,19,15,24,23,40,41,43,50,32,42,44,43,47,43,43,40,35,25,22,23,8,16,11,10,5,9,10,8,6,6,4,6,7,3,2,5,3,2,0,4051 - -1
2770,4051,SEVERN_ST S of DONCASTER_RD,046 B02,-37.79418,145.06955,-1,389,5,1,2006-10-12,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,3,1,0,2,4,6,11,7,6,12,20,33,31,41,48,45,33,23,19,20,16,25,16,16,19,16,12,18,14,13,21,23,16,20,20,13,21,16,16,21,22,42,38,46,36,34,36,36,41,46,50,43,39,29,25,25,17,21,15,4,11,8,9,9,5,10,7,9,6,8,7,4,6,0,2,1,4051 - -1
2771,4051,SEVERN_ST S of DONCASTER_RD,046 B02,-37.79418,145.06955,-1,389,5,1,2006-10-13,1,0,0,0,0,0,4,1,1,2,2,1,1,0,1,2,0,0,0,3,3,1,0,1,5,5,6,10,8,11,15,21,37,32,37,41,26,27,26,19,17,22,21,16,16,25,14,12,23,20,17,19,16,16,18,17,15,16,25,23,22,49,44,53,36,29,30,41,45,38,47,40,33,35,35,25,16,14,17,10,11,7,5,3,5,5,9,5,7,3,5,6,3,5,2,1,4051 - -1
2772,4051,SEVERN_ST S of DONCASTER_RD,046 B02,-37.79418,145.06955,-1,389,5,1,2006-10-14,3,1,1,4,3,1,0,0,2,1,1,0,0,0,1,0,1,0,1,5,2,0,1,1,0,2,3,6,4,4,5,12,14,13,15,17,17,23,20,16,24,21,22,21,28,21,29,29,26,29,26,28,27,21,25,19,27,26,19,20,22,27,27,19,19,17,22,15,19,23,20,18,17,21,21,24,20,20,10,2,5,9,9,5,5,4,4,2,4,7,6,6,3,6,4,3,4051 - -1
2773,4051,SEVERN_ST S of DONCASTER_RD,046 B02,-37.79418,145.06955,-1,389,5,1,2006-10-15,6,7,7,3,1,3,3,0,3,2,1,0,1,1,2,0,0,0,1,0,2,2,1,0,1,0,1,6,3,2,6,0,0,6,5,15,10,15,13,17,14,22,23,22,14,16,18,19,16,17,16,12,21,7,22,20,18,12,22,11,16,12,15,22,12,21,8,20,16,19,16,13,19,15,12,15,10,5,8,0,9,3,6,7,6,4,7,3,2,5,2,1,0,2,2,2,4051 - -1
2774,4051,SEVERN_ST S of DONCASTER_RD,046 B02,-37.79418,145.06955,-1,389,5,1,2006-10-16,2,0,1,2,0,1,0,1,2,0,0,1,0,0,0,1,0,0,0,2,0,1,3,2,2,7,11,4,11,13,25,26,34,34,50,40,28,20,15,19,14,23,9,16,19,19,18,18,14,22,16,17,18,13,18,7,14,17,24,19,28,47,39,46,37,44,26,41,45,43,56,48,35,41,19,22,11,14,21,8,9,9,3,4,10,5,3,5,5,4,4,0,1,1,0,0,4051 - -1
2775,4051,SEVERN_ST S of DONCASTER_RD,046 B02,-37.79418,145.06955,-1,389,5,1,2006-10-17,0,2,0,2,0,0,1,0,0,0,0,1,0,1,0,0,2,0,1,3,1,0,1,2,4,3,7,4,14,13,17,36,37,41,39,42,27,26,18,19,19,16,24,14,17,18,17,22,15,20,15,16,23,17,12,13,19,11,11,15,26,45,51,46,43,34,40,41,38,55,50,43,40,35,31,19,18,19,17,14,12,8,6,2,11,7,3,4,5,7,4,3,1,3,1,0,4051 - -1
2776,4051,SEVERN_ST S of DONCASTER_RD,046 B02,-37.79418,145.06955,-1,389,5,1,2006-10-18,1,1,0,0,1,0,1,0,0,0,1,1,0,1,2,2,0,0,0,1,0,1,1,2,4,5,9,4,13,13,23,30,39,44,44,40,28,17,15,24,15,25,15,16,18,15,17,20,20,10,18,12,19,22,24,17,15,13,24,15,27,45,42,49,42,46,34,47,51,45,50,43,47,42,18,22,15,18,11,15,6,10,3,5,13,10,11,1,4,4,7,5,0,5,1,4,4051 - -1
2777,4051,SEVERN_ST S of DONCASTER_RD,046 B02,-37.79418,145.06955,-1,389,5,1,2006-10-19,3,0,0,0,0,0,0,0,1,1,0,1,0,2,1,0,0,0,0,2,1,1,2,1,3,6,6,5,5,12,14,24,39,41,35,38,28,20,16,19,22,19,17,11,10,19,20,18,17,23,19,17,18,20,17,21,13,17,18,19,24,43,43,46,43,39,33,41,45,47,51,43,45,35,27,22,18,19,14,11,6,11,10,8,8,4,12,7,7,3,7,5,2,1,3,2,4051 - -1
