NB_LATITUDE,NB_LONGITUDE,Date,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,Identifier
-37.81285,145.00849,2006-10-14,1,0,0,2,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,8,0,1,2,4,6,4,1,4,3,8,5,11,7,2,2,5,2,4,5,0,5,3,4,9,7,6,3,10,6,7,3,5,6,6,0,4,8,8,6,7,8,9,2,10,3,4,4,19,5,0,0,2,1,4,0,0,0,0,0,1,1,0,0,2,0,0,0,1,1,0,0,4821 - -1
-37.81285,145.00849,2006-10-15,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,7,0,1,0,0,1,0,1,0,0,1,3,2,1,2,1,3,3,5,2,13,4,3,1,5,2,3,3,5,4,7,3,3,4,6,1,5,9,8,9,7,2,10,3,5,10,2,1,4,5,2,10,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,4821 - -1
-37.81285,145.00849,2006-10-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,8,4,3,3,11,9,11,1,5,4,0,0,11,3,6,2,2,1,5,2,3,2,5,9,4,0,4,7,5,6,7,14,14,1,3,3,4,8,0,2,5,9,11,21,1,4,12,3,8,2,2,2,0,2,1,1,0,3,3,2,0,0,0,2,0,0,0,0,0,4821 - -1
-37.81285,145.00849,2006-10-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,1,2,1,3,7,10,14,6,22,12,14,8,19,7,4,3,5,1,4,2,1,4,0,5,2,8,3,8,2,2,4,11,11,3,1,0,0,0,4,3,3,7,7,2,8,4,8,20,4,6,16,7,20,7,5,1,2,2,3,1,0,3,1,3,0,0,2,0,1,0,1,1,0,1,4821 - -1
-37.81285,145.00849,2006-10-18,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,1,0,2,1,1,8,3,9,8,4,7,17,6,10,5,6,0,4,8,8,2,4,4,5,4,4,5,5,7,8,4,5,2,10,5,3,9,8,6,5,7,5,2,2,7,2,11,2,13,18,7,5,4,7,11,3,10,10,5,2,1,0,3,5,3,3,1,0,0,0,1,0,0,0,0,0,4821 - -1
-37.81285,145.00849,2006-10-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,3,2,9,2,14,3,14,9,10,6,3,2,3,0,3,4,5,3,4,4,3,9,1,2,4,4,14,3,3,5,5,2,3,5,2,2,4,2,4,3,4,0,2,2,9,8,7,13,7,5,4,5,2,1,3,6,3,0,3,1,0,0,0,3,2,2,2,0,2,0,4821 - -1
-37.81285,145.00849,2006-10-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,2,6,13,5,3,10,1,5,22,10,9,7,5,1,3,4,3,10,4,2,3,8,0,1,3,3,5,8,8,8,4,6,2,1,0,10,6,2,7,3,6,1,8,1,7,4,4,3,0,5,3,7,3,5,0,2,0,1,0,0,0,0,0,0,5,0,0,0,0,2,0,0,4821 - -1
-37.81285,145.00849,2006-10-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,0,5,0,5,2,6,5,16,5,10,8,5,5,4,7,3,1,8,0,1,6,3,4,5,12,4,2,1,7,4,5,6,7,6,3,4,10,7,2,5,3,8,3,3,9,4,4,1,6,0,4,0,4,0,1,1,4,0,0,1,0,0,2,0,1,2,4,4,2,0,4821 - -1
-37.81285,145.00849,2006-10-22,0,0,3,0,0,0,1,3,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,7,5,9,4,3,2,5,3,3,1,5,4,6,12,6,4,4,3,7,9,7,2,2,2,13,11,3,3,10,6,9,8,3,6,2,5,9,4,2,5,5,5,13,4,1,7,2,1,2,3,3,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,4821 - -1
-37.81285,145.00849,2006-10-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,0,0,4,2,22,1,2,2,6,9,6,7,10,10,5,3,4,2,6,3,2,5,1,15,5,3,3,7,3,8,5,3,3,7,1,4,4,3,7,7,2,4,7,8,2,3,9,11,4,2,14,19,5,1,2,0,1,0,0,0,0,1,1,0,0,1,0,1,5,2,0,0,0,4821 - -1
-37.81285,145.00849,2006-10-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,7,6,12,20,11,18,14,9,11,6,5,1,1,3,4,17,2,5,3,4,6,3,5,4,1,12,5,3,1,4,1,3,8,7,1,1,1,4,3,3,10,2,5,9,9,8,12,4,23,17,9,6,5,3,6,4,1,2,0,5,0,2,0,0,0,6,0,2,0,0,0,4821 - -1
-37.81285,145.00849,2006-10-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,4,5,10,2,11,7,12,8,10,12,9,3,2,2,0,2,1,2,1,2,0,0,3,0,8,4,3,0,2,3,2,5,3,4,16,5,5,0,1,6,8,0,6,5,4,16,3,9,4,4,9,6,4,0,7,3,0,3,1,5,0,3,0,2,0,0,0,0,0,0,0,0,4821 - -1
-37.81285,145.00849,2006-10-26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,25,11,5,6,14,13,13,9,8,4,3,5,2,12,6,5,8,6,2,4,2,6,8,1,10,4,3,3,3,2,6,5,4,2,4,0,4,3,5,7,3,4,4,5,6,7,2,16,3,35,5,1,0,2,2,8,5,1,2,0,1,1,4,4,0,0,2,0,0,0,4821 - -1
-37.81285,145.00849,2006-10-27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,8,1,3,5,11,3,8,13,8,3,5,5,0,8,0,5,0,4,4,6,5,4,6,5,4,5,6,3,9,5,7,1,2,2,0,0,2,6,3,1,9,8,11,4,2,3,4,21,17,3,3,2,2,0,0,0,2,0,3,0,2,4,0,1,6,0,0,0,0,0,4821 - -1
-37.81285,145.00849,2006-10-28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1,3,1,0,0,4,6,0,2,3,2,0,3,0,4,5,5,4,7,5,1,9,2,8,1,3,1,4,2,3,10,5,7,4,7,4,6,6,6,8,1,2,1,4,3,2,6,2,5,1,1,1,1,1,2,0,1,0,1,0,3,0,0,1,2,0,2,0,0,4821 - -1
-37.81285,145.00849,2006-10-29,5,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,1,0,0,1,2,4,1,5,3,7,3,4,6,2,5,0,4,3,4,6,7,6,5,5,4,6,0,8,1,5,3,14,7,9,4,6,12,7,2,9,5,13,3,9,0,6,2,4,3,2,0,0,3,3,3,1,0,0,0,0,0,0,0,0,0,0,1,4821 - -1
-37.81285,145.00849,2006-10-30,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,1,1,16,2,7,7,11,7,25,12,3,2,1,2,2,4,1,1,2,4,1,9,5,3,3,0,5,2,6,6,4,1,2,5,2,6,8,1,3,12,10,13,8,5,14,4,8,5,3,10,13,6,7,7,4,3,2,3,0,5,1,1,0,0,0,0,3,0,0,0,0,4821 - -1
-37.81285,145.00849,2006-10-31,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,9,11,1,21,10,10,8,14,12,10,7,12,1,0,21,2,8,4,7,5,2,5,8,2,6,4,6,1,2,7,2,11,8,5,2,7,2,6,4,7,3,6,11,2,8,10,13,10,11,11,5,5,2,0,1,2,11,0,1,0,3,1,0,0,0,3,0,0,0,0,0,4821 - -1
