,NB_LATITUDE,NB_LONGITUDE,Date,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,Identifier
0,-37.79471,145.0612,2006-10-01,8,4,6,5,4,3,5,4,4,0,0,3,3,0,4,0,0,5,0,0,1,1,2,0,0,2,2,5,5,2,5,3,11,7,8,13,21,17,8,18,23,19,26,26,18,24,19,29,38,34,27,23,38,27,29,26,25,19,19,33,26,32,30,32,23,28,26,26,23,31,32,28,33,18,24,12,21,14,11,11,9,11,9,13,10,7,19,8,3,5,3,2,3,3,6,1,4030 - 9334
1,-37.79471,145.0612,2006-10-02,1,2,2,1,1,2,0,3,0,0,2,1,0,0,0,1,1,1,2,1,2,1,1,2,3,5,5,14,9,14,20,20,18,29,34,36,21,23,24,14,17,28,23,19,21,18,24,19,22,23,25,17,18,30,25,27,26,25,27,21,30,39,44,41,31,35,45,38,43,44,54,49,59,40,30,21,27,22,14,13,10,9,10,12,8,4,6,6,8,5,9,3,3,7,5,3,4030 - 9334
2,-37.79471,145.0612,2006-10-03,5,2,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,1,1,0,1,1,2,5,4,12,14,10,18,17,16,22,25,28,40,30,13,23,11,18,13,17,19,26,19,17,19,24,20,19,22,26,24,22,24,27,37,18,30,26,28,48,49,39,43,51,36,41,42,61,58,63,49,21,27,19,26,18,16,16,9,12,9,8,9,6,16,9,7,9,2,5,10,1,2,4030 - 9334
3,-37.79471,145.0612,2006-10-04,0,0,2,1,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,2,2,1,1,2,5,7,11,9,16,14,20,25,26,34,31,31,20,20,26,28,23,22,19,11,30,27,21,30,24,28,22,26,23,21,24,13,24,20,26,27,27,48,40,37,42,39,39,46,41,57,58,69,48,38,27,17,24,17,16,12,17,6,15,8,8,5,11,10,6,10,3,3,5,3,2,4030 - 9334
4,-37.79471,145.0612,2006-10-05,5,1,2,1,1,1,0,0,0,0,1,1,0,0,1,1,2,1,2,1,6,1,2,3,3,5,8,9,13,13,9,18,31,30,29,35,40,14,18,16,20,20,26,19,23,15,19,21,24,21,22,12,20,18,16,36,26,28,27,26,31,45,45,40,36,40,34,34,39,55,42,58,52,46,35,34,32,19,23,23,7,19,16,13,20,10,11,19,7,8,5,1,4,2,9,3,4030 - 9334
5,-37.79471,145.0612,2006-10-06,1,1,1,3,3,1,0,1,0,3,1,2,0,0,1,0,1,1,1,1,2,1,1,1,2,5,9,13,9,7,19,20,23,32,29,31,23,19,14,16,5,23,29,19,28,30,31,21,24,28,18,25,30,31,26,16,26,28,25,26,23,32,36,40,39,50,47,41,43,39,43,52,58,32,38,27,31,24,29,17,24,10,16,12,11,8,8,14,8,11,8,9,9,5,7,6,4030 - 9334
6,-37.79471,145.0612,2006-10-07,3,7,7,2,1,2,2,2,2,2,2,1,1,1,1,0,1,0,2,2,1,2,2,1,3,3,7,4,6,12,9,10,14,16,18,28,24,22,22,28,27,21,21,37,38,27,35,18,36,29,47,40,35,26,25,13,31,23,18,32,23,24,26,35,24,32,26,28,22,40,34,29,28,18,23,35,18,14,14,4,9,14,13,9,5,8,7,5,7,3,8,11,11,7,6,11,4030 - 9334
7,-37.79471,145.0612,2006-10-08,3,11,4,6,1,8,2,0,1,4,1,5,1,2,0,1,2,2,0,1,2,1,2,1,1,1,1,4,5,2,7,0,0,10,11,16,16,14,10,17,18,27,20,31,26,21,30,22,27,32,26,30,20,21,21,23,19,23,20,18,22,26,34,21,28,18,25,35,34,30,32,34,25,23,20,9,14,12,10,2,11,5,9,7,6,7,6,10,4,4,4,7,5,3,1,1,4030 - 9334
8,-37.79471,145.0612,2006-10-09,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,2,2,4,8,8,6,15,16,16,23,33,30,31,27,18,17,13,21,22,23,19,21,23,21,24,22,30,18,20,24,22,24,17,13,20,23,26,24,41,53,40,36,40,36,34,55,56,54,67,68,48,23,19,28,15,15,13,10,14,14,12,7,6,10,7,8,5,4,2,3,2,3,0,4030 - 9334
9,-37.79471,145.0612,2006-10-10,4,2,1,1,0,0,1,0,0,0,1,0,1,2,0,0,1,0,2,3,2,0,1,2,2,8,7,10,14,18,13,20,12,33,31,31,36,27,24,13,9,15,24,19,16,33,19,23,24,28,23,30,39,22,35,29,27,28,29,22,40,25,44,40,35,40,47,36,50,55,60,58,53,48,41,20,27,16,23,16,17,18,13,9,13,9,12,14,17,3,6,6,2,8,4,6,4030 - 9334
