,NB_LATITUDE,NB_LONGITUDE,Date,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,Identifier
0,-37.83312,145.05571,2006-10-01,31,36,21,30,19,19,18,19,25,18,12,15,15,10,11,8,7,4,11,10,7,7,16,12,14,16,15,20,13,17,21,34,20,31,46,55,48,55,74,63,82,73,76,95,75,76,79,77,64,115,59,82,72,98,93,83,56,78,81,71,79,69,68,60,71,72,63,53,57,64,91,63,75,65,52,57,49,32,33,44,39,35,22,26,18,28,27,28,16,23,26,8,14,11,12,8,4040 - 14501
1,-37.83312,145.05571,2006-10-02,16,11,6,7,5,6,1,3,5,3,6,3,4,6,2,3,6,9,10,10,7,17,21,24,48,40,80,87,123,113,179,183,193,188,201,170,91,110,91,86,79,92,78,77,90,82,79,84,67,98,86,64,79,78,75,59,80,66,73,65,73,81,61,77,47,88,93,82,77,86,82,88,83,66,71,70,53,68,56,53,45,40,48,37,31,31,30,42,20,14,27,21,17,8,9,9,4040 - 14501
2,-37.83312,145.05571,2006-10-03,4,4,7,5,6,5,2,3,6,3,4,3,3,0,8,6,6,4,14,12,9,14,18,42,43,55,82,115,126,137,140,208,199,198,159,151,136,98,96,87,90,101,77,83,64,82,81,74,81,79,67,77,77,67,48,81,65,83,58,75,74,85,62,81,64,73,79,95,110,99,116,84,106,68,77,75,104,81,44,62,50,42,39,40,47,41,55,39,38,46,27,23,17,17,15,15,4040 - 14501
3,-37.83312,145.05571,2006-10-04,15,8,10,6,4,3,6,6,3,7,4,8,2,3,5,3,9,2,8,8,9,17,28,37,56,58,91,115,95,115,152,169,203,149,198,154,138,126,120,104,67,90,94,75,86,73,76,87,90,81,67,62,76,67,66,55,57,71,71,77,56,74,73,75,67,66,91,84,83,83,89,94,74,83,69,77,74,77,64,40,44,42,37,41,34,32,35,41,28,36,23,26,27,12,11,15,4040 - 14501
4,-37.83312,145.05571,2006-10-05,7,12,9,5,8,5,5,6,7,7,6,6,2,10,5,7,8,8,10,9,10,18,29,37,43,48,96,87,121,121,131,149,201,205,194,163,147,106,102,104,104,84,94,71,85,62,84,84,78,83,74,84,71,77,71,84,78,64,71,96,62,77,77,64,97,73,82,94,94,90,92,94,119,71,83,106,76,60,60,66,72,50,37,44,38,46,43,47,52,35,34,29,21,24,20,20,4040 - 14501
5,-37.83312,145.05571,2006-10-06,14,13,9,6,11,10,5,6,6,4,5,7,10,5,8,12,11,6,10,8,15,19,32,34,51,56,81,112,109,133,140,159,176,208,143,166,144,103,93,84,96,92,86,79,84,64,73,87,82,85,78,84,76,75,97,89,86,68,85,89,78,71,89,88,72,96,97,82,91,97,93,114,101,108,99,100,94,92,100,88,54,48,35,64,43,41,28,34,38,53,40,34,28,35,40,26,4040 - 14501
6,-37.83312,145.05571,2006-10-07,23,16,11,12,16,16,12,10,22,8,13,15,10,12,7,8,4,12,13,11,17,13,16,11,16,27,36,44,25,30,35,50,51,50,72,77,75,76,91,102,84,109,85,95,82,83,105,80,97,99,80,75,79,78,79,97,85,89,63,69,72,82,99,71,74,90,39,86,70,68,71,83,74,84,93,97,92,84,72,75,55,47,54,55,50,55,57,41,40,39,42,46,40,37,36,42,4040 - 14501
7,-37.83312,145.05571,2006-10-08,30,29,33,23,17,19,16,20,11,21,16,12,14,8,10,11,7,9,8,7,11,9,6,11,18,10,21,23,13,23,30,26,33,27,41,42,50,48,67,95,78,95,65,69,83,84,83,84,69,90,106,94,69,97,78,90,75,73,61,75,58,82,84,75,58,62,61,66,60,64,65,72,47,64,81,65,69,46,44,32,34,40,32,28,33,34,29,23,29,17,20,16,17,12,12,13,4040 - 14501
8,-37.83312,145.05571,2006-10-09,10,4,9,3,4,7,2,8,6,1,7,1,6,4,6,5,10,3,10,10,12,18,18,30,43,55,87,90,114,102,184,179,205,194,174,183,122,110,92,94,69,64,87,62,72,71,85,84,78,71,66,73,79,72,65,81,85,72,78,60,76,95,79,73,70,71,79,72,108,118,93,83,114,92,66,63,72,75,49,59,42,37,28,32,41,30,35,33,20,28,24,17,12,20,14,9,4040 - 14501
9,-37.83312,145.05571,2006-10-10,9,10,3,7,3,6,3,3,3,4,5,6,5,2,4,6,6,7,6,10,20,16,20,35,45,61,76,114,104,111,177,168,185,231,195,144,155,131,86,97,93,96,88,78,85,74,95,77,83,72,73,79,97,81,60,65,81,66,76,75,61,76,78,73,76,82,85,87,97,95,112,102,100,76,84,111,92,86,69,46,52,56,48,34,44,43,43,46,46,33,36,28,21,30,20,7,4040 - 14501
10,-37.83312,145.05571,2006-10-11,14,12,14,4,6,7,6,8,2,7,1,1,5,4,6,6,4,4,2,4,13,13,29,37,40,53,93,102,123,136,137,184,181,213,127,191,136,113,102,103,104,88,82,101,73,83,76,93,75,84,74,68,68,64,50,80,54,71,70,68,87,92,67,78,78,86,78,92,88,99,95,86,95,84,105,90,87,92,57,65,56,50,36,33,46,38,43,27,25,35,32,18,15,15,14,12,4040 - 14501
11,-37.83312,145.05571,2006-10-12,10,5,9,9,10,3,7,5,4,4,6,9,5,2,2,5,8,3,10,12,5,11,19,38,47,49,73,133,112,108,161,187,173,187,188,166,146,127,106,92,86,86,82,75,60,65,72,93,71,88,100,83,59,60,76,84,65,73,91,79,59,80,81,79,70,70,90,78,91,103,93,106,98,85,72,74,66,81,75,62,49,50,52,43,55,50,52,51,33,39,30,30,21,22,23,14,4040 - 14501
12,-37.83312,145.05571,2006-10-13,21,16,13,5,7,11,8,7,4,4,7,10,1,5,4,11,11,3,14,12,10,18,26,40,49,43,63,124,114,142,135,192,175,166,194,125,134,107,95,99,81,80,81,83,95,71,89,90,89,95,77,86,82,73,71,69,94,78,73,75,77,85,70,106,94,75,99,87,97,91,85,75,97,95,87,80,97,77,79,58,61,63,49,44,52,44,43,51,36,38,36,45,30,44,26,26,4040 - 14501
13,-37.83312,145.05571,2006-10-14,34,13,24,18,12,22,23,16,14,18,4,10,7,5,7,9,13,6,10,11,7,12,18,24,19,23,29,42,31,33,30,30,50,53,80,84,87,70,97,106,95,88,81,83,66,80,119,97,99,110,86,103,79,91,83,62,95,81,107,79,60,91,68,74,79,65,79,75,60,82,93,79,93,97,90,108,102,76,91,57,63,44,43,53,58,49,26,67,63,64,61,39,39,40,39,31,4040 - 14501
14,-37.83312,145.05571,2006-10-15,41,29,23,22,27,17,14,17,19,13,10,11,16,8,9,12,18,16,18,19,8,10,13,15,9,11,19,19,25,23,15,20,31,32,32,37,58,67,90,77,77,84,94,86,89,74,78,91,81,85,95,78,72,87,83,91,63,106,92,82,82,75,95,78,81,69,86,61,62,75,72,62,50,64,51,54,45,42,53,54,33,31,37,33,42,33,29,23,31,14,18,18,13,13,14,9,4040 - 14501
15,-37.83312,145.05571,2006-10-16,10,4,9,8,5,4,4,6,4,6,4,1,3,3,5,4,9,3,4,10,16,16,21,41,35,44,70,91,123,116,153,188,185,159,168,218,119,132,97,102,79,80,65,80,83,67,61,77,96,93,70,63,82,68,76,80,63,45,57,84,83,77,78,71,78,89,89,73,100,89,71,91,83,70,74,76,54,81,51,68,37,39,46,29,45,31,34,35,20,19,36,18,13,12,9,17,4040 - 14501
16,-37.83312,145.05571,2006-10-17,9,7,7,3,4,8,2,5,1,5,5,6,4,0,2,4,5,4,5,10,13,14,32,26,43,67,81,110,108,119,171,179,172,190,175,149,161,124,109,94,90,83,93,72,71,67,82,83,67,68,76,82,71,84,50,56,52,90,70,54,74,65,86,67,95,91,84,76,100,94,105,108,106,73,97,78,95,87,68,48,50,66,34,47,43,53,46,30,27,22,23,30,19,21,19,17,4040 - 14501
17,-37.83312,145.05571,2006-10-18,13,6,14,9,1,7,5,6,5,4,1,5,6,1,5,6,6,9,3,7,7,14,24,38,45,65,79,110,101,140,144,195,163,199,194,152,151,100,101,92,87,102,97,86,87,86,61,83,87,69,71,68,93,69,64,64,78,78,69,81,62,116,91,63,62,84,92,84,113,111,81,76,88,76,85,75,93,87,53,48,45,57,47,36,59,38,28,42,48,40,40,28,27,32,16,12,4040 - 14501
18,-37.83312,145.05571,2006-10-19,15,10,9,8,4,3,5,7,3,7,5,6,5,5,6,8,8,6,8,13,11,12,23,42,50,64,88,105,109,152,156,172,182,200,163,176,147,138,113,76,82,97,74,86,69,72,83,92,81,70,68,69,74,76,69,58,75,64,79,84,75,83,72,68,94,80,88,95,104,99,88,110,93,92,84,77,93,81,85,53,51,48,59,54,46,39,48,45,42,39,83,39,29,29,22,21,4040 - 14501
19,-37.83312,145.05571,2006-10-20,20,10,11,10,4,10,13,9,4,9,5,6,6,3,4,7,9,5,6,11,14,14,28,39,43,63,68,102,109,125,142,195,170,190,140,133,128,107,97,95,85,90,87,79,92,69,87,70,96,73,79,80,71,62,63,69,63,89,77,104,77,78,82,79,77,79,94,77,102,118,88,80,112,77,81,86,84,85,87,62,55,64,47,52,63,38,56,38,40,30,38,46,25,38,28,18,4040 - 14501
20,-37.83312,145.05571,2006-10-21,37,25,27,20,16,20,8,19,11,12,5,12,10,11,6,6,7,5,5,10,5,5,20,19,22,26,40,40,29,36,44,54,64,51,76,83,80,69,75,76,101,83,81,70,86,95,92,82,107,93,77,66,105,75,87,85,70,92,71,66,74,73,81,86,83,90,78,69,56,84,80,73,74,99,97,116,103,70,63,55,54,64,56,49,62,45,47,38,35,38,39,33,46,41,31,20,4040 - 14501
21,-37.83312,145.05571,2006-10-22,28,39,29,24,35,18,24,20,18,10,23,21,11,13,14,12,12,6,13,11,7,8,13,9,7,17,15,17,18,20,31,21,21,33,37,56,37,70,67,87,55,78,80,75,58,82,83,74,66,107,68,112,64,79,90,83,73,84,74,55,63,54,72,77,61,77,57,67,57,59,71,73,53,66,64,51,67,53,45,41,37,33,32,34,31,29,28,27,28,32,26,17,17,18,19,9,4040 - 14501
22,-37.83312,145.05571,2006-10-23,16,10,9,5,9,4,1,4,3,4,3,2,4,5,8,4,8,8,10,11,11,24,26,38,41,46,79,96,114,109,161,168,193,211,206,169,115,83,102,108,108,87,69,62,71,70,72,66,73,76,78,55,79,89,87,77,76,71,48,54,76,68,83,82,82,84,78,85,92,89,52,82,77,79,67,72,64,69,58,49,53,49,39,38,31,31,31,30,28,23,14,18,13,13,14,11,4040 - 14501
23,-37.83312,145.05571,2006-10-24,9,6,5,7,5,4,2,2,2,4,6,2,3,4,5,1,6,7,5,11,12,22,29,40,35,56,93,109,106,132,167,207,184,209,154,163,138,101,98,80,108,63,88,77,78,79,84,68,88,67,107,91,63,83,71,60,65,63,60,61,60,66,68,76,55,80,85,81,67,98,93,94,87,90,77,94,74,79,62,56,44,41,43,46,28,41,34,31,26,35,28,25,25,20,19,16,4040 - 14501
24,-37.83312,145.05571,2006-10-25,6,6,11,9,6,8,4,7,8,9,2,2,5,1,3,7,5,3,8,9,13,18,24,44,41,45,77,118,94,157,193,155,171,204,200,125,152,114,119,100,94,96,88,81,86,65,97,95,82,52,76,69,65,83,99,92,76,79,72,74,73,84,77,60,71,82,68,85,98,94,110,96,82,89,83,89,63,69,53,67,78,57,52,47,43,42,31,28,33,25,22,23,25,19,23,13,4040 - 14501
25,-37.83312,145.05571,2006-10-26,13,14,11,3,5,8,0,5,4,5,4,2,3,2,3,5,6,6,6,9,12,17,33,37,42,64,75,111,112,152,141,181,157,214,204,141,138,119,93,76,90,95,80,90,92,74,88,84,86,90,78,59,96,70,65,70,113,102,91,85,83,95,80,85,90,69,82,90,93,125,115,97,98,90,78,75,84,73,75,61,63,85,85,78,53,53,45,43,54,37,33,33,22,17,16,20,4040 - 14501
26,-37.83312,145.05571,2006-10-27,14,9,8,9,10,9,6,8,4,6,4,3,6,6,2,10,5,8,5,15,12,18,23,38,44,46,67,102,101,128,173,179,187,202,163,191,111,68,101,91,98,79,88,81,94,83,83,82,72,89,79,73,74,76,62,63,82,75,76,83,60,86,92,67,71,85,99,99,78,98,85,82,112,96,86,84,94,88,72,66,56,42,44,40,54,46,28,40,33,49,37,34,24,30,24,21,4040 - 14501
27,-37.83312,145.05571,2006-10-28,25,12,10,16,11,15,16,20,5,7,9,9,11,6,6,4,8,11,2,8,5,16,12,24,22,25,39,36,30,37,51,54,48,54,62,83,65,80,88,92,99,104,84,80,78,98,87,91,106,85,99,68,106,91,90,87,88,84,87,96,92,73,63,75,87,103,75,65,97,78,72,76,93,85,74,81,75,69,91,63,86,61,62,51,60,65,41,55,50,60,34,46,43,29,30,32,4040 - 14501
